Variable Name,Variable Label,Value,"Value Label
(Note: ""-1"" indicates that the question was not shown to that respondent)",
bevconcerns3,"What are your top five concerns about purchasing/leasing an electric only vehicle? 
Limited seating capacity",0,Not Selected,
,,1,Selected,
bevconcerns4,"What are your top five concerns about purchasing/leasing an electric only vehicle? 
Limited hauling capacity",0,Not Selected,
,,1,Selected,
bevconcerns5,"What are your top five concerns about purchasing/leasing an electric only vehicle? 
Limited vehicle body/styling of vehicle",0,Not Selected,
,,1,Selected,
bevconcerns6,"What are your top five concerns about purchasing/leasing an electric only vehicle? 
Battery life uncertainty",0,Not Selected,
,,1,Selected,
bevconcerns7,"What are your top five concerns about purchasing/leasing an electric only vehicle? 
Uncertain gasoline/electricity price",0,Not Selected,
,,1,Selected,
bevconcerns8,"What are your top five concerns about purchasing/leasing an electric only vehicle? 
Cost of installing charging equipment for your home",0,Not Selected,
,,1,Selected,
bevconcerns9,"What are your top five concerns about purchasing/leasing an electric only vehicle? 
Lack of charging facilities",0,Not Selected,
,,1,Selected,
bevconcerns10,"What are your top five concerns about purchasing/leasing an electric only vehicle? 
Time to charge the battery",0,Not Selected,
,,1,Selected,
bevconcerns11,"What are your top five concerns about purchasing/leasing an electric only vehicle? 
Uncertain resale value",0,Not Selected,
,,1,Selected,
bevconcerns12,"What are your top five concerns about purchasing/leasing an electric only vehicle? 
Technology is still too new/unreliable",0,Not Selected,
,,1,Selected,
bevconcerns13,"What are your top five concerns about purchasing/leasing an electric only vehicle? 
Fear of getting stranded",0,Not Selected,
,,1,Selected,
bevconcerns14,"What are your top five concerns about purchasing/leasing an electric only vehicle? 
Other",0,Not Selected,
,,1,Selected,
bevconcerns15,"What are your top five concerns about purchasing/leasing an electric only vehicle? 
I don’t have any concerns",0,Not Selected,
,,1,Selected,
bevconcerns16,"What are your top five concerns about purchasing/leasing an electric only vehicle? 
I don’t know enough about this technology",0,Not Selected,
,,1,Selected,
bevconcerns_x,"What are your top five concerns about purchasing/leasing an electric only vehicle? 
Other, specified",,N/A,
phevconcerns1,"What are your top five concerns about purchasing/leasing a plug-in hybrid electric vehicle?  
Too expensive",0,Not Selected,
,,1,Selected,
phevconcerns2,"What are your top five concerns about purchasing/leasing a plug-in hybrid electric vehicle? 
Limited driving range on the electric battery",0,Not Selected,
,,1,Selected,
phevconcerns3,"What are your top five concerns about purchasing/leasing a plug-in hybrid electric vehicle? 
Limited seating capacity",0,Not Selected,
,,1,Selected,
phevconcerns4,"What are your top five concerns about purchasing/leasing a plug-in hybrid electric vehicle? 
Limited hauling capacity",0,Not Selected,
,,1,Selected,
phevconcerns5,"What are your top five concerns about purchasing/leasing a plug-in hybrid electric vehicle? 
Limited vehicle body/styling of vehicle",0,Not Selected,
,,1,Selected,
phevconcerns6,"What are your top five concerns about purchasing/leasing a plug-in hybrid electric vehicle? 
Battery life uncertainty",0,Not Selected,
,,1,Selected,
phevconcerns7,"What are your top five concerns about purchasing/leasing a plug-in hybrid electric vehicle? 
Uncertain gasoline/electricity price",0,Not Selected,
,,1,Selected,
phevconcerns8,"What are your top five concerns about purchasing/leasing a plug-in hybrid electric vehicle? 
Cost of installing charging equipment for your home",0,Not Selected,
,,1,Selected,
phevconcerns9,"What are your top five concerns about purchasing/leasing a plug-in hybrid electric vehicle? 
Lack of charging infrastructure outside your home",0,Not Selected,
,,1,Selected,
phevconcerns10,"What are your top five concerns about purchasing/leasing a plug-in hybrid electric vehicle? 
Time to charge the battery",0,Not Selected,
,,1,Selected,
phevconcerns11,"What are your top five concerns about purchasing/leasing a plug-in hybrid electric vehicle? 
Uncertain resale value",0,Not Selected,
,,1,Selected,
phevconcerns12,"What are your top five concerns about purchasing/leasing a plug-in hybrid electric vehicle? 
Technology is still too new/unreliable",0,Not Selected,
,,1,Selected,
phevconcerns13,"What are your top five concerns about purchasing/leasing a plug-in hybrid electric vehicle? 
Other",0,Not Selected,
,,1,Selected,
phevconcerns14,"What are your top five concerns about purchasing/leasing a plug-in hybrid electric vehicle? 
I don't have any concerns",0,Not Selected,
,,1,Selected,
phevconcerns15,"What are your top five concerns about purchasing/leasing a plug-in hybrid electric vehicle? 
I don't know enough about this technology",0,Not Selected,
,,1,Selected,
phevconcerns_x,"What are your top five concerns about purchasing/leasing a plug-in hybrid electric vehicle? 
Other, specified",,N/A,
fcvconcerns1,"What are your top five concerns about purchasing/leasing a hydrogen fuel cell vehicle? 
Too expensive",0,Not Selected,
,,1,Selected,
fcvconcerns2,"What are your top five concerns about purchasing/leasing a hydrogen fuel cell vehicle? 
Limited seating capacity",0,Not Selected,
,,1,Selected,
fcvconcerns3,"What are your top five concerns about purchasing/leasing a hydrogen fuel cell vehicle? 
Limited hauling capacity",0,Not Selected,
,,1,Selected,
fcvconcerns4,"What are your top five concerns about purchasing/leasing a hydrogen fuel cell vehicle? 
Limited vehicle body/styling of vehicle",0,Not Selected,
,,1,Selected,
fcvconcerns5,"What are your top five concerns about purchasing/leasing a hydrogen fuel cell vehicle? 
Safety of hydrogen tank",0,Not Selected,
,,1,Selected,
fcvconcerns6,"What are your top five concerns about purchasing/leasing a hydrogen fuel cell vehicle? 
Uncertain hydrogen price",0,Not Selected,
,,1,Selected,
fcvconcerns7,"What are your top five concerns about purchasing/leasing a hydrogen fuel cell vehicle? 
Cost of installing fueling equipment for your home",0,Not Selected,
,,1,Selected,
fcvconcerns8,"What are your top five concerns about purchasing/leasing a hydrogen fuel cell vehicle? 
Lack of fueling infrastructure outside your home",0,Not Selected,
,,1,Selected,
fcvconcerns9,"What are your top five concerns about purchasing/leasing a hydrogen fuel cell vehicle? 
Uncertain resale value for vehicle",0,Not Selected,
,,1,Selected,
fcvconcerns10,"What are your top five concerns about purchasing/leasing a hydrogen fuel cell vehicle? 
Technology is still too new/unreliable",0,Not Selected,
,,1,Selected,
fcvconcerns11,"What are your top five concerns about purchasing/leasing a hydrogen fuel cell vehicle? 
Other",0,Not Selected,
,,1,Selected,
fcvconcerns12,"What are your top five concerns about purchasing/leasing a hydrogen fuel cell vehicle? 
I don't have any concerns",0,Not Selected,
,,1,Selected,
fcvconcerns13,"What are your top five concerns about purchasing/leasing a hydrogen fuel cell vehicle? 
I don’t know enough about this technology",0,Not Selected,
,,1,Selected,
fcvconcerns_x,"What are your top five concerns about purchasing/leasing a hydrogen fuel cell vehicle? 
Other, specified",,N/A,
topattributes1,"When selecting a vehicle to buy or lease, what do you consider to be the top 3 attributes? 
Vehicle price",0,Not Selected,
,,1,Selected,
topattributes2,"When selecting a vehicle to buy or lease, what do you consider to be the top 3 attributes? 
MPG/Fuel economy",0,Not Selected,
,,1,Selected,
topattributes3,"When selecting a vehicle to buy or lease, what do you consider to be the top 3 attributes? 
Acceleration",0,Not Selected,
,,1,Selected,
topattributes4,"When selecting a vehicle to buy or lease, what do you consider to be the top 3 attributes? 
Maintenance cost",0,Not Selected,
,,1,Selected,
topattributes5,"When selecting a vehicle to buy or lease, what do you consider to be the top 3 attributes? 
Fuel cost",0,Not Selected,
,,1,Selected,
topattributes6,"When selecting a vehicle to buy or lease, what do you consider to be the top 3 attributes? 
Range",0,Not Selected,
,,1,Selected,
topattributes7,"When selecting a vehicle to buy or lease, what do you consider to be the top 3 attributes? 
Towing capacity",0,Not Selected,
,,1,Selected,
topattributes8,"When selecting a vehicle to buy or lease, what do you consider to be the top 3 attributes? 
Cargo capacity",0,Not Selected,
,,1,Selected,
topattributes9,"When selecting a vehicle to buy or lease, what do you consider to be the top 3 attributes? 
Seating capacity",0,Not Selected,
,,1,Selected,
topattributes10,"When selecting a vehicle to buy or lease, what do you consider to be the top 3 attributes? 
Reliability",0,Not Selected,
,,1,Selected,
topattributes11,"When selecting a vehicle to buy or lease, what do you consider to be the top 3 attributes? 
Fuel availability",0,Not Selected,
,,1,Selected,
topattributes12,"When selecting a vehicle to buy or lease, what do you consider to be the top 3 attributes? 
Refueling time",0,Not Selected,
,,1,Selected,
topattributes13,"When selecting a vehicle to buy or lease, what do you consider to be the top 3 attributes? 
Horsepower",0,Not Selected,
,,1,Selected,
topattributes14,"When selecting a vehicle to buy or lease, what do you consider to be the top 3 attributes? 
Warranty",0,Not Selected,
,,1,Selected,
topattributes15,"When selecting a vehicle to buy or lease, what do you consider to be the top 3 attributes? 
Brand/Vehicle make",0,Not Selected,
,,1,Selected,
carshare,What is your level of participation in car-share programs where you can rent/access a car for short periods of time?,1,I currently participate,
,,2,"I have participated in the past, but am not currently participating",
,,3,"I have not participated in the past, but I plan to participate",
,,4,I might participate someday,
,,5,I am not interested in participating,
whynocarshare,What is the primary reason you are not currently participating in a car-share?,1,I am not aware of these programs,
,,2,It’s not available in my area,
,,3,Too expensive,
,,4,Not convenient,
,,5,Public transit already meets my needs,
,,6,I already have access to a vehicle when I need one,
,,7,Other,
whynocarsharex,"What is the primary reason you are not currently participating in a car-share? Other, specified",,N/A,
rideshare,"What is your level of participation in ride sharing and ride share programs, such as carpools, vanpools, Uber, Lyft, Sidecar, etc.?",1,I currently participate,
,,2,"I have participated in the past, but am not currently participating",
,,3,"I have not participated in the past, but I plan to participate",
,,4,I might participate someday,
,,5,I am not interested in participating,
ridesharewhy1,"When do you typically use ride share? 
Travel or special events (e.g. concerts, sporting events, etc.)",0,Not Selected,
,,1,Selected,
ridesharewhy2,"When do you typically use ride share? 
Everyday commuting trips (e.g. trips to work, school, errands, etc.)",0,Not Selected,
,,1,Selected,
ridesharewhy3,"When do you typically use ride share? 
Other",0,Not Selected,
,,1,Selected,
ridesharewhyx,"When do you typically use ride share? 
Other, specified",,N/A,
whynorideshare,What is the primary reason you are not currently using ride sharing?,1,I am not aware of these programs,
,,2,It’s not available in my area,
,,3,Too expensive,
,,4,Not convenient,
,,5,Public transit already meets my needs,
,,6,I already have access to a vehicle when I need one,
,,7,I prefer to ride alone,
,,8,Other,
whynoridesharex,"What is the primary reason you are not currently using ride sharing? Other, specified",,N/A,
rideshareagree,Car-sharing and ride-sharing programs will affect my future decisions about owning a personal vehicle in the future,1,Strongly agree,
,,2,Moderately agree,
,,3,Neither agree nor disagree,
,,4,Moderately disagree,
,,5,Strongly disagree,
futuremileage,"The current price of a gallon of regular gasoline in the State of California is about $2.80. How much do you think gas will cost, per gallon, in 5 years? (in dollars)",$,,
solar,Do you currently have solar panels installed on your permanent residence?,1,Yes,
,,2,No,
solar_future,Are you planning on purchasing solar panels for your permanent residence within the next 5 years?,1,Yes,
,,2,No,
income,Annual household income,1,"Less than $9,999",
,,2,"$10,000 to $24,999",
,,3,"$25,000 to $34,999",
,,4,"$35,000 to $49,999",
,,5,"$50,000 to $74,999",
,,6,"$75,000 to $99,999",
,,7,"$100,000 to $149,999",
,,8,"$150,000 to $199,999",
,,9,"$200,000 to $249,999",
,,10,"$250,000 or more",
region,Region of Residence,1,San Francisco,
,,2,Los Angeles,
,,3,San Diego,
,,4,Sacramento,
,,5,Central Valley,
,,6,Rest of CA,
city,City (if known),,N/A,
zip,Zip code (if known),,N/A,
pevowner,Current ownership/lease of one or more Plug-in Hybrid Electric Vehicles (PHEV's) or Battery Electric Vehicles (BEV's),0,Respondent does not have any PHEV's or BEV's,
,,1,Respondent has one or more PHEV's or BEV's,
